temperature_c,humidity_pct,gas_ppm,hours_elapsed,freshness_score
20.66,75.85,482.37,26.97,15.36
3.33,72.74,283.65,68.45,28.29
3.75,68.28,181.97,52.7,44.6
10.84,61.52,294.46,43.1,32.63
15.11,81.81,69.48,11.23,80.19
21.67,66.97,167.01,11.23,56.38
21.91,37.46,29.2,4.18,98.48
13.53,49.36,429.68,62.36,16.55
1.98,62.4,75.5,43.28,63.87
30.92,69.34,650.0,50.98,1.48
11.4,64.21,25.75,1.48,98.87
12.6,82.07,511.37,69.83,7.44
3.03,37.68,109.47,59.94,58.89
24.45,67.01,333.31,15.29,33.35
24.34,39.55,173.16,13.09,55.19
5.16,75.64,35.21,13.21,91.57
5.94,63.68,48.95,21.91,78.62
20.01,70.87,550.27,37.78,9.95
22.61,52.91,478.55,31.1,17.37
2.52,82.91,32.54,20.97,81.72
29.06,79.58,650.0,44.05,0.0
3.29,73.17,17.47,10.04,97.31
15.01,63.19,161.4,21.03,51.35
30.83,73.12,650.0,26.38,2.38
13.73,55.1,270.48,32.84,37.16
21.08,76.98,650.0,56.53,0.33
14.79,88.09,133.38,14.38,59.82
3.97,79.99,106.66,37.02,58.78
35.27,54.79,650.0,42.65,0.0
17.85,70.06,36.47,3.34,94.0
30.61,46.9,650.0,43.74,1.02
4.34,73.01,12.0,12.28,96.24
3.03,71.31,20.04,4.68,99.06
4.51,38.82,208.31,68.32,40.82
19.98,48.74,592.82,69.53,4.58
10.06,61.04,405.73,58.2,17.55
32.93,60.79,650.0,21.93,6.79
17.06,48.07,31.97,7.03,93.82
30.1,70.45,650.0,49.26,0.34
3.43,68.52,47.99,31.69,74.92
33.97,62.28,457.32,8.79,25.46
22.07,54.42,507.52,35.65,14.33
21.88,79.68,19.76,2.48,97.36
27.35,88.18,650.0,65.47,0.0
23.37,58.23,353.25,18.63,30.2
19.74,56.43,541.42,47.7,8.66
3.98,71.88,40.88,22.44,85.8
4.66,59.99,100.58,37.44,61.93
33.78,63.05,650.0,39.36,0.0
21.37,75.36,202.45,13.31,49.19
24.54,38.27,650.0,69.81,1.31
13.73,83.46,480.31,55.81,11.18
4.01,66.02,238.51,67.64,35.48
3.48,59.24,217.94,64.43,38.62
26.68,63.75,649.19,43.05,4.82
11.52,64.47,467.17,66.37,10.39
3.87,40.76,31.82,6.37,100.0
10.57,85.93,57.83,14.11,78.35
3.89,65.58,20.76,3.26,100.0
19.33,71.2,395.77,23.42,25.99
3.56,78.32,66.59,27.98,69.94
18.74,50.7,191.87,19.54,50.1
13.08,71.63,510.46,59.67,6.61
15.53,61.25,254.62,25.69,40.6
3.69,76.85,45.02,20.23,87.47
5.92,35.22,94.56,39.07,68.57
13.22,63.61,38.53,10.15,93.0
16.82,56.56,496.36,57.76,11.48
26.24,71.05,75.05,5.37,75.85
4.67,71.58,300.97,71.06,24.95
23.28,55.09,641.45,55.6,3.75
36.81,55.03,650.0,14.31,5.2
20.76,63.45,24.7,0.4,97.9
3.65,52.45,186.94,58.71,46.14
10.31,76.79,411.02,50.89,15.61
4.84,59.83,188.66,52.49,45.18
3.6,30.0,110.06,55.53,59.97
